neighborhood,address,units,stories,construction,apn,block,lot,last_permit,streetview,recorder_lookup
Central Richmond,420 20th Av,10,2,wood frame (5),1525039,1525,039,2013-10-07T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.779853085,-122.479013157",https://sfassessor.org/ (search APN 1525039)
Central Richmond,445 24th Av,10,3,wood frame (5),1456007,1456,007,2019-12-06T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.78117344,-122.484069516",https://sfassessor.org/ (search APN 1456007)
Central Richmond,619 25th Av,10,3,wood frame (5),1568001C,1568,001C,2023-03-15T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.777670249,-122.484884732",https://sfassessor.org/ (search APN 1568001C)
Central Richmond,682 20th Av,10,3,wood frame (5),1625017,1625,017,1990-09-11T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.774938972,-122.478746117",https://sfassessor.org/ (search APN 1625017)
Central Richmond,790 20th Av,10,3,wood frame (5),1662025,1662,025,2016-11-03T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.773074029,-122.478674851",https://sfassessor.org/ (search APN 1662025)
Central Richmond,105 18th Av,9,4,wood frame (5),1378001,1378,001,2016-06-13T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.785831889,-122.477802976",https://sfassessor.org/ (search APN 1378001)
Central Richmond,133 19th Av,9,3,wood frame (5),1379006,1379,006,2024-03-05T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.785361774,-122.47899429",https://sfassessor.org/ (search APN 1379006)
Central Richmond,1845 Cabrillo St,9,3,wood frame (5),1662039,1662,039,2024-05-24T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.77441963,-122.478677506",https://sfassessor.org/ (search APN 1662039)
Central Richmond,190 21st Av,9,3,wood frame (5),1380022,1380,022,2026-01-21T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784298275,-122.480563455",https://sfassessor.org/ (search APN 1380022)
Central Richmond,1900 Cabrillo St,9,4,wood frame (5),1624006R,1624,006R,2016-02-23T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.774824279,-122.479257617",https://sfassessor.org/ (search APN 1624006R)
Central Richmond,2011 Clement St,9,3,wood frame (5),1453001,1453,001,2024-10-02T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.78207121,-122.480843489",https://sfassessor.org/ (search APN 1453001)
Central Richmond,335 22nd Av,9,3,wood frame (5),1454006,1454,006,1988-07-06T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.78149357,-122.481938721",https://sfassessor.org/ (search APN 1454006)
Central Richmond,4424 Fulton St,9,4,wood frame (5),1663020,1663,020,2014-07-31T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.773044099,-122.479332204",https://sfassessor.org/ (search APN 1663020)
Central Richmond,483 22nd Av,9,3,wood frame (5),1522015,1522,015,2018-02-02T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.778548887,-122.481619958",https://sfassessor.org/ (search APN 1522015)
Central Richmond,5339 Geary Bl,9,3,wood frame (5),1527036,1527,036,2001-03-23T15:56:26.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.780239886,-122.476960555",https://sfassessor.org/ (search APN 1527036)
Central Richmond,5441 California St,9,3,wood frame (5),1417033,1417,033,2024-09-11T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784048695,-122.476050176",https://sfassessor.org/ (search APN 1417033)
Central Richmond,5636 California St,9,3,wood frame (5),1378017,1378,017,1990-05-03T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784466219,-122.478243025",https://sfassessor.org/ (search APN 1378017)
Central Richmond,600 24th Av,9,4,wood frame (5),1566036,1566,036,2016-07-28T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.77797398,-122.483336514",https://sfassessor.org/ (search APN 1566036)
Central Richmond,675 25th Av,9,4,wood frame (5),1568010,1568,010,2024-01-10T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.776783888,-122.484824882",https://sfassessor.org/ (search APN 1568010)
Central Richmond,895 24th Av,9,4,wood frame (5),1667021,1667,021,2024-12-03T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.772861259,-122.483314786",https://sfassessor.org/ (search APN 1667021)
Central Richmond,1440 Clement St,8,3,wood frame (5),1418024,1418,024,2014-06-23T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782728992,-122.474873918",https://sfassessor.org/ (search APN 1418024)
Central Richmond,1657 Clement St,8,3,wood frame (5),1449045,1449,045,2020-07-13T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782167256,-122.477078111",https://sfassessor.org/ (search APN 1449045)
