company,locations_in_sf,score,in_target_hoods,naics,dbas,mailing_address,sample_addresses
Up Real Estate & Property Services Inc,1,2,,531210,Up Commercial | Up Properties | Up Real Estate,"2020 Ocean Ave Ste 2a, San Francisco, 94127","2020 Ocean Ave Ste 2a, San Francisco"
Urban Group Real Estate Incorporated,1,2,Mission,"531110, 531210",Urban Group Real Estate Inc. | Urban Group Real Estate Incorporated,"1328 Valencia St, San Francisco, 94110","1328 Valencia St, San Francisco"
"Urban Place Consulting Group, Inc",1,2,,531390,"Urban Place Consulting Group, Inc.","5318 E 2nd St Ste 336, Long Beach, 90803","5318 E Second E St Ste 336, Long Beach"
Urbanites Real Estate Inc,1,2,,531210,Urbanites Real Estate Inc,"58 West Portal Ave #501, San Francisco, 94127","58 West Portal Ave 501, San Francisco"
"V Multifamily Partners A2 Lpf, LLC",1,2,,531110,"V Multifamily Partners A2 Lpf, LLC","Po Box 1258, Portsmouth, 03802","268 Bush St # 1688, San Francisco"
"Valencieh, LLC Residential",1,2,,531311,"Valencieh, LLC Residential","4443 Po Box, Burlingame, 94011","535 -537 Valencia St #, San Francisco"
Valhalla Real Estate Inc,1,2,,531312,Valhalla Real Estate,"10 Dorman Ave, San Francisco, 94124","10 Dorman Ave, San Francisco"
Vallejo Street Partners LLC,1,2,,531110,517 Vallejo St Apts,"1234 Castro St, San Francisco, 94114","517 Vallejo St, San Francisco"
Vallejo View Apartments LLC,1,2,,531110,Vallejo View Apartments,"1717 Powell St Ste 300, San Francisco, 94133","2000 Vallejo St, San Francisco"
Valmi Associates / Asadoor Astorian & Josyane Gandolfo,1,2,,531110,Fillmore,"1 Nina Ct Ste, Mill Valley, 94941","2027 Fillmore St, San Francisco"
Valstock Management,1,2,,531390,Valstock Management,"635 Vallejo St, San Francisco, 94133","635 Vallejo, San Francisco"
Valued-Properties LLC,1,2,,531390,Valued-Properties LLC,"482 Madrid St, San Francisco, 94112","482 Madrid St, San Francisco"
"Van Ness Hayes Associates, LLC",1,2,,531110,150 Van Ness,"155 Montgomery St Ste 1100, San Francisco, 94104","150 Van Ness Ave, San Francisco"
Vandewater Apartments LLC,1,2,,531110,Vandewater Apartments LLC,"452 Beach St, San Francisco, 94133","273 Jefferson St, San Francisco"
