company,locations_in_sf,score,in_target_hoods,naics,dbas,mailing_address,sample_addresses
Balboa Street Properties LLC,1,2,Outer Richmond,531110,Balboa Street Properties LLC,"2 Dionne Ct, Belmont, 94002","3126 Balboa St, San Francisco"
Baldini Real Estate Inc,1,2,,531210,Baldini Property Management | Century 21 Baldini Prop Mgmt | Century 21 Baldini Realty,"4977 Mission St, San Francisco, 94112","4977 Mission St, San Francisco"
Balilla Apartments LLC,1,2,,531110,Balilla Apartments LLC,"4 Thornton Ct, Novato, 94945","565 Geary St, San Francisco"
Ballast Group LLC,1,2,,531110,Ballast Group LLC,"351 California St Fl 14, San Francisco, 94104","351 California St Fl 14, San Francisco"
Bancroft Property LLC,1,2,,531390,None,"220 S Linden Ave, South San Francisco, 94080","220 S Linden Ave, South San Francisco"
Banejad & Haddad Properties,1,2,Outer Richmond,531110,Banejad & Haddad Properties,"3716 Oakes Dr, Hayward, 94542","695 33rd Ave, San Francisco"
Banneker Homes Lp,1,2,,53,Banneker Homes Lp,"725 Fulton St, San Francisco, 94102","725 Fulton St, San Francisco"
Baskin Investment Group LLC,1,2,,531110,"Baskin Investment Group, LLC","626 El Camino Real, San Carlos, 94070","626 El Camino Real, San Carlos"
"Bay Area Real Estate Advisors, Inc.",1,2,,531210,The Advisory,"0000 Undeliverable Mail, San Francisco, 99999","2099 Market St, San Francisco"
Bay City Properties LLC,1,2,Nob Hill,531110,Sacramento Apartments,"Po Box 446, Burlingame, 94011","1501 Sacramento Street, San Francisco"
Bayside Elderly Housing Corporation,1,2,,531110,Bayside Elderly Housing Corporation,"615 Grant Ave, San Francisco, 94108","615 Grant Ave, San Francisco"
Bayview Supportive Housing LLC,1,2,,531390,Bayview Supportive Housing LLC,"100 N Broadway Ste 100, Saint Louis, 63102","720 Olive St Ste 2500, Saint Louis"
"Beacon Rose Partners, LLC",1,2,,531390,Beacon Rose Partners,"13825 Francisco Dr, La Mirada, 90638","601 Montgomery St Ste 1212, San Francisco"
"Beam Properties, Inc.",1,2,,531110,"Beam Properties, Inc.","900 Van Ness Ave Ste 102, San Francisco, 94109","900 Van Ness Ave Ste 102, San Francisco"
Bell Partners Inc.,1,2,,531311,Bell Partners Inc.,"300 N Greene St Ste 1000, Greensboro, 27401","1 Embarcadero Ctr Ste 3510, San Francisco"
Berkadia Real Estate Advisors Inc,1,2,,531210,Berkadia Real Estate Advisors Inc.,"323 Norristown Rd Ste 300, Ambler, 19002","1 Post St, San Francisco"
"Bernal Homes, L.P.",1,2,Mission,531110,"Bernal Homes, L.P.","0000 Undeliverable Mail, San Francisco, 99999","3138 Kamille Ct, San Francisco"
Bespoke Housing LLC,1,2,Inner Richmond,531311,Bespoke Housing LLC,"327 7th Ave, San Francisco, 94118","327 7th Ave, San Francisco"
Best Financial Group LLC,1,2,,53,Best Financial Group LLC,"150 Shoreline Hwy Bldg D, Mill Valley, 94941","150 Shoreline Hwy Bldg D, Mill Valley"
Bevilacqua Properties IIi LLC,1,2,,531110,3045 Franklin St,"Po Box 1205, Genoa, 89411","3045 Franklin St, San Francisco"
"Bez Group, Inc.",1,2,,53,Consolidated Property Management | Consolidated Realty Services,"2305 Judah St, San Francisco, 94122","2305 Judah St, San Francisco"
"Big N Properties, LLC",1,2,,531110,"Big N Properties, LLC","248 3rd St Unit 738, Oakland, 94607","418 -422 Capp St #, San Francisco"
Biljac Associates,1,2,,531312,3201 Divisadero St Building,"3659 Hadley Hill Dr, Santa Rosa, 95404","3201 Divisadero St, San Francisco"
Bill Williams - Real Estate Agent Inc.,1,2,,531210,Bill Williams - Real Estate Agent Inc.,"160 Moraga Way, Orinda, 94563","50 Lucerne St Apt 1, San Francisco"
Black Label Real Estate Inc.,1,2,,531210,Black Label Finance | Black Label Group | Black Label Mortgage,"301 Mission St Apt 27f, San Francisco, 94105","1160 Mission St 2102, San Francisco"
Blackwell Properties LLC,1,2,Mission,531390,Blackwell Properties,"3178 17th St 3 Unit, San Francisco, 94110","3178 17th St Ste 3, San Francisco"
Blatteis Realty Co Inc,1,2,,531210,Blatteis Realty Co Inc,"101 Montgomery St Ste 888, San Francisco, 94104","101 Montgomery St Ste 888, San Francisco"
Blu Petals Realty,1,2,,531210,Blu Petals Realty,"1327 Shafter Ave, San Francisco, 94124","1327 Shafter Ave, San Francisco"
Blue Property Group Inc,1,2,,531210,Homesmart Bay Area,"0000 Undeliverable Mail, San Francisco, 99999","100 Pine St Ste 1250 #A77, San Francisco"
Bm & R Partners Lp,1,2,,53,1685 Chestnut St Apts,"1150 Union St 303 Unit, San Francisco, 94109","1685 Chestnut St, San Francisco"
Bnv Associates LLC,1,2,,531110,1355 Bay St Apts,"Po Box 1302, Tiburon, 94920","1355 Bay St, San Francisco"
Bohemia Apartments Lp,1,2,Nob Hill,531110,Bohemia Apartments Lp,"1717 Powell St Ste 300, San Francisco, 94133","625 Taylor St, San Francisco"
"Boulevard Apartments, Lp",1,2,,531110,"Boulevard Apartments, Lp","1717 Powell St Ste 300, San Francisco, 94133","1725 Van Ness Ave, San Francisco"
Boulevard Properties Inc,1,2,,531312,Boulevard Properties Inc,"500 3rd St Ste 505, San Francisco, 94107","500 3rd St Rm 505, San Francisco"
Bowery Real Estate Systems,1,2,,531210,Bowery Valuation,"30 Cooper Square St Fl 8, New York, 10003","30 Cooper Square St Fl 8, New York"
Bprep Mosso Apartments LLC,1,2,,53,Mosso Apartments,"127 Public Sq Ste 3200, Cleveland, 44114","900 Folsom St, San Francisco"
Branson Real Estate,1,2,,53,Jessica Branson Inc.,"285 Nevada St, San Francisco, 94110","285 Nevada St, San Francisco"
Brian Garrett Real Estate Group,1,2,,531210,Brian Garrett Real Estate Group | Sage Real Estate,"37 Liberty St, San Francisco, 94110","466 Brannan St, San Francisco"
Bridge Properties LLC,1,2,,531210,Polaris Realty,"1388 Sutter St # 1220, San Francisco, 94109","1388 Sutter Plaza Ste 1220, San Francisco"
Bridgeton Management Sf LLC,1,2,,531312,Bridgeton Management Sf LLC,"126 5th Ave Fl 12, New York, 10011","220 5th Ave Fl 19, New York"
Bridgeton Museum Parc Property LLC,1,2,,531312,Bridgeton Museum Parc Property LLC,"126 5th Ave Fl 12, New York, 10011","300 3rd St, San Francisco"
Bristol Group Incorporated,1,2,,531390,"Bristol Group, Inc.","350 Sansome St 900 Ste, San Francisco, 94104","350 Sansome St Ste 900, San Francisco"
Broadmoor Partners LLC,1,2,,531390,"Broadmoor Partners, LLC","217 Spring Grove Ave, San Rafael, 94901","217 Spring Grove Ave, San Rafael"
Broadway Gough Associates,1,2,,531110,1790 Broadway Rentals,"3475 California St, San Francisco, 94118","1790 Broadway, San Francisco"
Broadway Realty SF,1,2,,531110,Broadway Realty SF,"2269 Chestnut St, San Francisco, 94123","1803 Broadway St, San Francisco"
Brown&Company Real Estate Inc,1,2,,531210,Brown And Co Real Estate,"1228 Treat Ave, San Francisco, 94110","2207 Lombard St, San Francisco"
Bryant Property LLC,1,2,,531110,Bryant Property LLC,"201 Spear St Ste 1650, San Francisco, 94105","555 Bryant St, San Francisco"
Bssg Partners LLC,1,2,,531110,2925 Van Ness Ave Apts,"1878 38th Ave, San Francisco, 94122","2925 Van Ness Ave, San Francisco"
Btw Housing Partners Lp,1,2,,531110,John Burton Foundation Housing Complex,"1388 Sutter St Fl 11, San Francisco, 94109","800 Presidio Ave, San Francisco"
"Buchanan Pacific Partners, Lp.",1,2,,531110,"Buchanan Pacific Partners, Lp","1717 Powell St Ste 300, San Francisco, 94133","2199 Pacific Ave, San Francisco"
Buchanan Summerwood Partners,1,2,,531110,Summerwood Apartments,"477 18th Ave, San Francisco, 94121","1 Daniel Burnham Ct 412, San Francisco"
Buckley Real Estate Inc,1,2,,53,Buckley Real Estate Inc,"2277 Jerrold Ave, San Francisco, 94124","2277 Jerrold Ave, San Francisco"
"Build A Difference Properties, LLC",1,2,,531390,"Build A Difference Properties, LLC","Po Box P O Box 883333, San Francisco, 94188","501 Hudson Ave 303, San Francisco"
Bv Housing Preservation,1,2,,531110,Bv Housing Preservation,"30 Hudson Yards Fl 72, New York, 10001","5 Commer Ct, San Francisco"
Bwa Properties LLC,1,2,,53,Bwa Properties LLC,"Po Box 420162, San Francisco, 94142","782 Clementina St, San Francisco"
C&B Properties LLC,1,2,,531110,C&B Properties LLC,"449 10th St, San Francisco, 94103","449 10th St, San Francisco"
C&C Property Mgmt LLC,1,2,,53,C&C Property Mgmt LLC,"Po Box 11314, Oakland, 94611","610 Blair Ave, Piedmont"
C&D Realty Corporation,1,2,,531210,C&D Realty Corporation,"2000 Lawton St, San Francisco, 94122","2000 Lawton St, San Francisco"
California & Pierce Apts Lp,1,2,,531110,California & Pierce Apts Lp,"1717 Powell St Ste 300, San Francisco, 94133","2001 Pierce St, San Francisco"
California Barrel Company LLC,1,2,,531390,Associate Capital,"1201a Illinois St, San Francisco, 94107","Illinois St, San Francisco"
California State Realty Inc,1,2,,53,Calif State Loan Modifications | California State Mortgage Co | California State Property Management,"2685 22nd Ave, San Francisco, 94116","2685 22nd Ave, San Francisco"
California West Associates,1,2,,531110,839 Post St Apartments,"1683 Shattuck Ave # A, Berkeley, 94709","839 Post St, San Francisco"
Cambridge Management Company,1,2,,531110,Cambridge Management Co,"2975 Scott Blvd Ste 200, Santa Clara, 95054","2975 Scott Blvd Ste 200, Santa Clara"
"Candlestick 10a Associates, L.P.",1,2,,531110,Candlestick 10a,"201 Eddy St, San Francisco, 94102","Ingerson Ave, San Francisco"
Cannae Partners LLC,1,2,,531390,Cannae Partners,"477 Pacific Ave Fl 1, San Francisco, 94133","477 Pacific Ave Fl 1, San Francisco"
Cannizzaro Realty Inc,1,2,,531210,Cannizzaro Realty Inc,"450 Beach St, San Francisco, 94133","450 Beach St, San Francisco"
Canon Barcus Associates Lp,1,2,,53,Canon Barcus Associates Lp,"1358 Valencia St, San Francisco, 94110","165 8th St Fl 3, San Francisco"
Canon Kip Associates II Lp,1,2,,531110,Canon Kip Community House,"165 8th St, San Francisco, 94103","705 Natoma St, San Francisco"
Cappiello & Associates,1,2,,531110,Cappiello & Associates,"2223 N Point St, San Francisco, 94123","2223 N Point St, San Francisco"
Capri Tower Apartments,1,2,Mission,531110,Capri Tower Apartments,"3740 25th St Apt 601, San Francisco, 94110","3740 25th St Apt 601, San Francisco"
Capurro Properties - Series B,1,2,,531110,545 - 555 Green St Apts,"408 Columbus Ave Ste 5, San Francisco, 94133","408 Columbus St #5, San Francisco"
Capurro Properties Series A,1,2,,531110,456-466 Columbus Avenue Apts,"408 Columbus Ave Ste 5, San Francisco, 94133","408 Columbus St #5, San Francisco"
Cara Properties LLC,1,2,Mission,531110,Cara Properties LLC,"1408 Devlin Dr, Vallejo, 94591","467 Guerrero St, San Francisco"
Carillon Associates,1,2,,531110,Carillon Tower,"222 Front St Fl 7, San Francisco, 94111","1100 Gough St, San Francisco"
Carmel Partners Gp IIi LLC,1,2,,531390,Carmel Partners Gp IIi LLC,"1000 Sansome St Fl 1, San Francisco, 94111","1000 Sansome St Ste 180, San Francisco"
Carmel Partners Gp Ix LLC,1,2,,531390,Carmel Partners Gp Ix LLC,"0000 Undeliverable Mail, San Francisco, 99999","1000 Sansome St Fl 1, San Francisco"
"Carmel Partners Gp Vii, LLC",1,2,,531390,"Carmel Partners Gp Vii, LLC","0000 Undeliverable Mail, San Francisco, 99999","1000 Sansome St Fl 1, San Francisco"
Carmel Partners Gp Viii LLC,1,2,,531390,Carmel Partners Gpviii LLC,"1000 Sansome St Fl First, San Francisco, 94111","1000 Sansome St Fl First, San Francisco"
Carmel Partners Gpvi LLC,1,2,,531390,Carmel Partners Gpvi LLC,"0000 Undeliverable Mail, San Francisco, 99999","1000 Sansome St 1st Fl, San Francisco"
"Carmel Partners Investment Fund Vii, Lp",1,2,,53,"Carmel Partners Investment Fund Vii, Lp","1000 Sansome St 1 Fl, San Francisco, 94111","1000 Sansome St Fl 1, San Francisco"
"Carmel Partners Investment Fund Viii, Lp",1,2,,531110,"Carmel Partners Investment Fund Viii, Lp","0000 Undeliverable Mail, San Francisco, 99999","1000 Sansome St Fl 1, San Francisco"
Carmerl Partners Gp V LLC,1,2,,531390,Carmerl Partners Gp V LLC,"0000 Undeliverable Mail, San Francisco, 99999","1000 Sansome St, Suite 180, San Francisco"
Casa Adelante Housing LLC,1,2,Mission,531110,Casa Adelante Housing LLC,"2301 Mission St Ste 301, San Francisco, 94110","2205 Mission St, San Francisco"
"Casa Adelante Svn Housing, L.P.",1,2,Mission,53,"Casa Adelante Svn Housing, L.P.","0000 Undeliverable Mail, San Francisco, 99999","1515 S Van Ness Ave, San Francisco"
Casa Rosa Properties LLC,1,2,,531110,Polk Rental,"329 Avalon, Los Altos, 94022","2433 Polk, San Francisco"
Castaldo Properties Inc.,1,2,Mission,531210,Castaldo Properties Inc.,"464 Fair Oaks St, San Francisco, 94110","462 Fair Oaks St, San Francisco"
Castro Street Property,1,2,,531110,G-Castro LLC,"Po Box 1744, Burlingame, 94010","201 Castro St, San Francisco"
Cecchini Realty Co.,1,2,,531311,Cecchini Realty Co.,"584 Castro St #, San Francisco, 94114","584 Castro St, San Francisco"
Cencaland Property Inv Inc,1,2,,531110,Cencaland Property Inv Inc,"1719 22nd Ave, San Francisco, 94122","1762 -1768 9th Ave, San Francisco"
Centerstone Realty,1,2,Mission,53,Centerstone Property Managemen | Centerstone Realty | Rental Resources,"1965 Market St, San Francisco, 94103","1965 Market St, San Francisco"
Cervantes Property LLC,1,2,,531110,Cervantes Property LLC,"3628 Broderick St, San Francisco, 94123","15 Cervantes Blvd, San Francisco"
Chain Of Lakes Group LLC,1,2,,53,Chain Of Lakes Group LLC,"717 Country Club Dr, Ojai, 93023","2134 Van Ness Ave, San Francisco"
"Chandler Properties, Inc.",1,2,,531110,Chandler Properties | Chandler Property Management,"3475 California St, San Francisco, 94118","3475 California St, San Francisco"
Charmed Life Properties,1,2,Haight Ashbury,531110,38 Belvedere Street,"554 Clayton St Unit 170296, San Francisco, 94117","38 Belvedere St, San Francisco"
Chew Lun Realty Co Inc,1,2,,531311,748 Jackson St Rentals | Chew Lun Realty Co,"740 Jackson St, San Francisco, 94133","748 Jackson St, San Francisco"
Chinatown Properties LLC,1,2,,531110,Chinatown Properties LLC,"1859 29th Ave, San Francisco, 94122","120 Trenton St, San Francisco"
Chou Evergreen Realty Inc,1,2,,531210,Evergreen Realty,"2266 34th Ave, San Francisco, 94116","2266 34th Ave, San Francisco"
Churchill Partners LLC,1,2,,531110,Chruchill Partners LLC,"585 Dartmouth Ave, San Carlos, 94070","2474 Washington St, San Francisco"
Cikes Properties LLC,1,2,,531110,Cikes Properties LLC,"190 Forest Side Ave, San Francisco, 94127","190 Forest Side Ave, San Francisco"
"Citibrokers Real Estate, Inc.",1,2,Outer Richmond,53,"Citibrokers Real Estate | Citibrokers Real Estate, Inc.","5840 Geary Blvd, San Francisco, 94121","5840 Geary Blvd, San Francisco"
City Ctr Realty Partners LLC,1,2,,531390,City Center Real Estate Services LLC,"363 Village Sq, Orinda, 94563","363 Village Sq, Orinda"
City Real Estate Services Inc,1,2,,531210,"City Real Estate Services, Inc","629 Divisadero St, San Francisco, 94117","629 Divisadero St, San Francisco"
City View Partners Pm LLC,1,2,,531312,City View Partners Pm LLC,"2255 27th Avenue, San Francisco, 94116","2255 27th Ave, San Francisco"
"Cko Properties, LLC",1,2,,531390,"Cko Properties, LLC","501 Crescent Way Apt 5108, San Francisco, 94134","1555 Yosemite Ave Ste 40, San Francisco"
"Clanton Apartments, LLC",1,2,,531110,"Clanton Apartments, LLC","416 Nw 13th Ave Apt 504, Portland, 97209","1580 Golden Gate Ave, San Francisco"
"Clay Street Apartments, LLC",1,2,,531110,"Clay Street Apartments, LLC","60 E Sir Francis Drake Blvd 205 Ste, Larkspur, 94939","60 E Sir Francis Drake Blvd Ste 205, Larkspur"
Coit Tower Properties Inc,1,2,,531311,Coit Tower Properties Inc,"2001 Union St Ste 300, San Francisco, 94123","2001 Union St Ste 300, San Francisco"
Colla & Ray Real Estate Inc,1,2,,531210,Colla & Ray Real Estate Inc.,"250 Columbus Ave Ste 200, San Francisco, 94133","250 Columbus Ave Ste 200, San Francisco"
Coral Manor Properties LLC,1,2,,53,1200 15th Avenue Apartments,"695 Pacheco St, San Francisco, 94116","1200 15th Ave, San Francisco"
Corinthian Apartments Sf Lp,1,2,,531110,Corinthian Apartments Sf Lp,"1717 Powell St Ste 300, San Francisco, 94133","512 Van Ness Ave, San Francisco"
"Cornwall Gnw Properties, LLC",1,2,Inner Richmond,531110,351 Cornwall Street,"591101 Po Box, San Francisco, 94159","351 Cornwall St, San Francisco"
Corterra Real Estate Inc,1,2,,531210,Corterra Real Estate,"88 Townsend St Apt 202, San Francisco, 94107","88 Townsend St Apt 202, San Francisco"
Cow Hollow Management Co LLC,1,2,,53,Cow Hollow Management Co LLC,"Po Box 470068, San Francisco, 94147","3024 Pierce St, San Francisco"
Crestline Drive Apartments LLC,1,2,,531110,30 Crestline Dr Apt LLC,"2443 Fillmore St, San Francisco, 94115","30 Crestline Dr, San Francisco"
Crestview Apartments,1,2,,531110,1980 Washington Apts,"4745 Geary Blvd, San Francisco, 94118","1980 Washington St, San Francisco"
Crosby Apartments Lp,1,2,Nob Hill,531110,Crosby Apartments Lp,"1717 Powell St Ste 300, San Francisco, 94133","940 Post St, San Francisco"
Crystal Tower Partners LLC,1,2,,531110,2140 Taylor Street,"1145 Market St Fl 1200, San Francisco, 94103","2140 Taylor St, San Francisco"
Csv Hospitality Management LLC,1,2,,531390,Csv Hospitality Management LLC,"212 Sutter St Fl 3, San Francisco, 94108","212 Sutter St Fl 3, San Francisco"
Ctaj Properties LLC,1,2,,531110,Ctaj Properties LLC,"305 Mcknight Park Dr, Pittsburgh, 15237","2825 Pine St, San Francisco"
Cupola Realty Inc,1,2,Outer Richmond,531311,Cupola Realty Inc,"2017 Balboa St, San Francisco, 94121","2017 Balboa St, San Francisco"
Daigian Properties LLC,1,2,Mission,53,3211 24th St Bldg,"810 Carsten Cir, Benicia, 94510","3211 24th St, San Francisco"
David & Catherine Biggio Partners Lawton Street Apartments,1,2,,531110,Lawton Street Apartments,"125 Roque Moraes Dr, Mill Valley, 94941","1300 Lawton St, San Francisco"
Davin Real Estate Holding LLC,1,2,Mission,531110,Davin Real Estate Holdding LLC,"3243 Mission St #, San Francisco, 94110","3358 Cesar Chavez, San Francisco"
"Dbb Property, LLC",1,2,,531110,"Dbb Property, LLC","8 Pepperwood, Corte Madera, 94925","8 Pepperwood, Corte Madera"
Deca Partners LLC,1,2,,531390,Deca 800 Cesar Chavez Owner LLC,"3130 20th St Ste 290, San Francisco, 94110","800 Cesar Chavez St, San Francisco"
Deja Vu Properties LLC,1,2,,531110,High Grove House,"472 Grove St, San Francisco, 94102","472 Grove St, San Francisco"
Del Rentals LLC,1,2,,531110,Del Rentals LLC,"2804 Gateway Oaks Dr 100, Sacramento, 95833","196 College Ave, San Francisco"
Delaware Lakewood Apts. LLC,1,2,,531110,Delaware Lake Apts LLC,"515 John Muir Dr, San Francisco, 94132","515 John Muir Dr, San Francisco"
Delfino California St. Apts.,1,2,Outer Richmond,531110,Delfino California St. Apts.,"252 Francisco St Fl, San Francisco, 94133","6310 California St, San Francisco"
"Denj Property, LLC",1,2,Outer Richmond,531110,"Denj Property, LLC","535 Edinburgh St, San Francisco, 94112","467 30th Ave Unit 469, San Francisco"
Devipaws & Partners,1,2,,53,Devipaws & Partners,"3931 19th St, San Francisco, 94114","3931 19th St, San Francisco"
"Devla Real Estate, LLC",1,2,,531311,"Devla Real Estate, LLC","1690 Filbert St Apt A, San Francisco, 94123","1690 Filbert St Apt A, San Francisco"
Diane Properties Corporation,1,2,,531110,Diane Properties Corporation,"55 Sadowa St, San Francisco, 94112","55 Sadowa St, San Francisco"
"Dicha Properties, LLC",1,2,,531110,"Dicha Properties, LLC","32 Laidley St, San Francisco, 94131","17 Wood St, San Francisco"
"Dinapoli Capital Partners, LLC",1,2,,531390,"Dinapoli Capital Partners, LLC","3021 Citrus Cir Ste 130, Walnut Creek, 94598","2 Embarcadero Ctr, San Francisco"
Distinctive Property Management LLC,1,2,Inner Richmond,531390,Distinctive Property Management LLC,"39 Hemway Ter, San Francisco, 94117","4224 California St Ste 204, San Francisco"
Dnd Properties LLC,1,2,,531110,Dnd Properties Holdings LLC,"Po Box 29624, San Francisco, 94129","3340 Jackson St, San Francisco"
Dogpatch Properties LLC,1,2,,531311,Dogpatch Properties LLC,"548 Market St # 66918, San Francisco, 94104","2546 3rd St 1, San Francisco"
Dolomite Property Services,1,2,,531311,Dolomite Property Services,"190291 Po Box, San Francisco, 94119","190291 Po Box, San Francisco"
Dor-Eight Company,1,2,,531110,258 Dorland St Apts,"2001 Union St Ste 300, San Francisco, 94123","258 Dorland St, San Francisco"
Dp Asset Management LLC,1,2,,531390,Dp Asset Management LLC,"818 W 7th St Ste 410, Los Angeles, 90017","550 Montgomery St Ste 400, San Francisco"
"Dp Management Services, Inc.",1,2,,531312,Montgomery Office,"818 W 7th St Ste 410, Los Angeles, 90017","500 Montgomery St Ste 400, San Francisco"
Dpa Properties,1,2,Noe Valley,531110,"Dpa Properties, LLC","424 Dumbarton Ave C Bldg, Redwood City, 94063","125 Jersey St, San Francisco"
Dr Stephens & Company,1,2,,531312,Dr Stephens & Company,"601 California St Ste 1710, San Francisco, 94108","601 California St Ste 1710, San Francisco"
Drawbridge Realty Management,1,2,,531390,"Drawbridge Realty Management, LLC","Three Embarcadero Ctr Ste 2310, San Francisco, 94111","Thre Embarcadero Ctr Ste 2310, San Francisco"
Duboce Partners Lp,1,2,,531110,Duboce Partners Lp,"1489 Webster St Ste 288, San Francisco, 94115","402 Duboce Ave, San Francisco"
Dunham Properties LLC,1,2,,531110,Dunham Properties LLC,"824 Green St, San Francisco, 94133","824 Green St, San Francisco"
Dunhill Partners West,1,2,,531210,Dunhill Partners West,"2001 Van Ness Ave Ste 409b, San Francisco, 94109","388 Market St, San Francisco"
Dunmore Associates,1,2,Outer Richmond,531110,Dunmore Associates,"Po Box P.O. Box 22428, San Francisco, 94122","174 20th Ave, San Francisco"
Dwak Associates LLC,1,2,,531110,50 Mallorca Way Apts,"2715 Filbert St, San Francisco, 94123","50 Mallorca Way, San Francisco"
E Litke & Litke Properties Inc,1,2,,531110,2090 Broadway Associates,"Po Box 885373, San Francisco, 94188","2090 Broadway St, San Francisco"
E&T Housing Gp LLC,1,2,,531110,None,"201 Eddy St, San Francisco, 94102","201 Eddy St, San Francisco"
Ec Properties,1,2,,531110,Ec Properties,"110 Eugenia Ave, San Francisco, 94110","110 Eugenia Ave, San Francisco"
Ecs Housing Corporation,1,2,,531110,Ecs Housing Corporation,"165 8th St, San Francisco, 94103","165 8th St, San Francisco"
Eddy & Taylor Associates Lp,1,2,,531110,Eddy & Taylor Associates Lp,"201 Eddy St, San Francisco, 94102","222 Taylor St, San Francisco"
Eddy Street Apartments,1,2,,531110,Eddy Street Apartments,"368 Fell St, San Francisco, 94102","1096 Eddy St, San Francisco"
Elizabethan Properties,1,2,,531110,Elizabethan Properties,"638 Vienna St, San Francisco, 94112","1960 /195 Pierce St, San Francisco"
Ellis 350 Associates L P,1,2,,531110,Ellis 350 Associates L P,"201 Eddy St, San Francisco, 94102","201 Eddy St, San Francisco"
"Ellis Street Associates, L.P.",1,2,,531110,None,"201 Eddy St, San Francisco, 94102","201 Eddy St, San Francisco"
Emeryville Associates Inc,1,2,,531390,Emeryville Associates Inc,"355 Hayes St, San Francisco, 94102","355 Hayes St, San Francisco"
"Empire Court Apartments, LLC",1,2,Nob Hill,531110,"Empire Court Apartments, LLC","Po Box 31028, San Francisco, 94131","850 Leavenworth St, San Francisco"
Epro Management,1,2,,531311,Epro Management,"723 Camino Plz, San Bruno, 94066","723 Camino Plz, San Bruno"
Equity Office Management LLC,1,2,,531390,North Park,"233 S Wacker Dr Ste 4700, Chicago, 60606","655 Davis St, San Francisco"
Esther Pilch C/O Gaetani Real Estate Inc,1,2,Outer Richmond,531110,"Mes Investments, LLC","4444 Geary Blvd Ste 100, San Francisco, 94118","5044 Geary Blvd, San Francisco"
Evans Property Management Inc,1,2,,531110,Evans Property Mgmt Inc,"1990 N California Blvd Fl 8, Walnut Creek, 94596","1000 Broadway Ste 300, Oakland"
Everwhite Real Estate LLC,1,2,,531110,2267-2275 Hayes Street Apts,"2120 Market St Ste 105, San Francisco, 94114","2267 -227 Hayes St, San Francisco"
"F & A Consulting & Investment Group, Inc",1,2,,531210,"F & A Investing & Investment Group, LLC","19 Victoria St, San Francisco, 94132","19 Victoria St, San Francisco"
Farnham Properties Inc.,1,2,Nob Hill,531110,"886 Sutter St. San Francisco, Ca. 94109","886 Sutter St 100 Ste, San Francisco, 94109","886 Sutter St Unit 100, San Francisco"
Fellmore Management,1,2,Haight Ashbury,53,Fellmore Management,"1080 Haight St, San Francisco, 94117","1080 Haight St, San Francisco"
Fifth And Third Partners LLC,1,2,,531390,Associate Capital,"1201 Illinois St A Bldg, San Francisco, 94107","420 23rd St, San Francisco"
Fifth Keil Company,1,2,,531312,Fifth Keil Company,"244 Kearny St Fl 3, San Francisco, 94108","244 Kearny St Fl 3, San Francisco"
Filbert Fll Apts. Lp,1,2,Nob Hill,531110,Filbert Fll Apts. Lp,"1717 Powell St Ste 300, San Francisco, 94133","1430 Sacramento St, San Francisco"
Filbert Fll Partners LLC,1,2,,531110,Filbert Fll Partners Lp,"1717 Powell St Ste 300, San Francisco, 94133","1267 Filbert St, San Francisco"
Filbert Street Rentals,1,2,,531110,Filbert Street Rentals,"2656 Po Box, Truckee, 96160","1708 Filbert St, San Francisco"
First Pacific Property Mgmt,1,2,,53,First Pacific Property Mgmt | Norcal Property Management,"170 King St Unit 506, San Francisco, 94107","601 Van Ness Ave Ste P, San Francisco"
Fishbone Partners LLC,1,2,,531110,Fishbone Partners LLC,"1890 40th Ave, San Francisco, 94122","1890 40th Ave, San Francisco"
Five Point Communities Management Inc,1,2,,531390,Five Point Communities Management Inc,"2000 Fivepoint Fl 4, Irvine, 92618","1 Sansome St 3200, San Francisco"
"Five Point Operating Company, Lp",1,2,,531390,Five Point Operating Company,"2000 Fivepoint Fl 4, Irvine, 92618","25 Enterprise Ste 300, Aliso Viejo"
Flynn Development Group LLC,1,2,,531390,Flynn Development Group LLC,"2960 Van Ness Ave, San Francisco, 94109","2960 Van Ness Ave, San Francisco"
Flynn Management Inc,1,2,,531312,Flynn Management Inc,"225 Bush St Ste 1800, San Francisco, 94104","225 Bush St Ste 1800, San Francisco"
Fog City Property LLC,1,2,,531110,Fog City Property LLC,"55 Octavia St, San Francisco, 94102","77 Van Ness St 203, San Francisco"
Folsom Street Associates LLC,1,2,,53,Folsom Street Associates LLC,"27 Maiden Ln Ste 250, San Francisco, 94108","620 Folsom St, San Francisco"
Fong Wong Properties,1,2,Inner Richmond,53,Fong Wong Properties,"401 E 21st St, Oakland, 94606","622 5th Ave, San Francisco"
Foothill Management,1,2,,531110,Foothill Management,"2961 Washington St A #, San Francisco, 94115","2961 Washington St A, San Francisco"
Forest City Residential West Inc,1,2,,531110,Forest City Residential West Inc,"127 Public 3200 Ste, Cleveland, 44114","875 Howard St #330, San Francisco"
Forge Development Partners LLC,1,2,,531390,Forge Development Partners,"3450 Sacramento St Ste 434, San Francisco, 94118","155 Montgomery St Ste 300, San Francisco"
Fortress Property Group LLC,1,2,,531390,Fortress Property Group LLC,"1960 Vallejo St Apt 1, San Francisco, 94123","1960 Vallejo St Apt 1, San Francisco"
"Fowler Property Investments, Lp",1,2,,531110,273 Filbert Apartments,"2222 Francisco Dr Ste 220-584, El Dorado Hills, 95762","273 Filbert St, San Francisco"
